Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Y76.1 Functional endoscopic sinus surgery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1423,393418,0.726535586736503,0.0443662981689198,,,categorical-41210-both_sexes-Y761-
H31 Other disorders of choroid,131174,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,490,394351,0.726661856096065,-0.0749013036295357,,,icd_first_occurrence-131174-both_sexes--
Ulcerative colitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2062,392721,0.727769463434979,0.0363775834630739,,,categorical-20002-both_sexes-1463-
K37 Unspecified appendicitis,131608,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4812,390029,0.728109249762749,-0.0213692960249153,,,icd_first_occurrence-131608-both_sexes--
F81 Specific developmental disorders of scholastic skills,130964,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,266,394575,0.728255661837002,0.101072477811871,,,icd_first_occurrence-130964-both_sexes--
Y22.8 Other specified drainage of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,234,394607,0.728279747196848,-0.106401340977232,,,categorical-41210-both_sexes-Y228-
T42.3 Endoscopic division of adhesions of peritoneum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,971,393870,0.728386773807221,-0.0537964899044314,,,categorical-41210-both_sexes-T423-
ALS custom,ALS_custom,categorical,,,,357,394484,0.728420334235817,0.0869268119304419,,,categorical-ALS_custom-both_sexes--custom
Weighted-mean MO in tract parahippocampal part of cingulum (right),25549,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.728715139265937,0.0120418850033506,,,continuous-25549-both_sexes--irnt
Weighted-mean L2 in tract acoustic radiation (right),25597,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.728897806222892,0.0124039240849264,,,continuous-25597-both_sexes--irnt
weight loss custom,weight_loss_custom,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,,59399,219866,0.728949822859219,0.0144346036110488,,,categorical-weight_loss_custom-both_sexes--custom
N01.2 Excision of lesion of scrotum,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,198,181030,0.729460720845075,-0.117182100529019,,,categorical-41200-both_sexes-N012-
Q23.5 Unilateral oophorectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,284,213329,0.729611686211233,-0.0979343818753377,,,categorical-41200-both_sexes-Q235-
D14.1 Tympanoplasty using graft,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,639,394202,0.73038734656414,0.0660630237842519,,,categorical-41200-both_sexes-D141-
Mean MD in posterior limb of internal capsule on FA skeleton (right),25122,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.730695322032878,0.0118634564901453,,,continuous-25122-both_sexes--irnt
I00 Rheumatic fever without mention of heart involvement,131270,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,1317,393524,0.730777993858697,0.0452110228239508,,,icd_first_occurrence-131270-both_sexes--
K42 Umbilical hernia,131616,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,5674,389167,0.730930178729696,0.0212200136041756,,,icd_first_occurrence-131616-both_sexes--
Z72.4 Carpal bone,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1026,393815,0.7309581150065,-0.0510013016453836,,,categorical-41210-both_sexes-Z724-
Glimepiride,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,330,394453,0.731490772198401,-0.0907695640967197,,,categorical-20003-both_sexes-1141152590-
Weighted-mean OD in tract middle cerebellar peduncle,25693,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.73157843275339,0.0118077789027485,,,continuous-25693-both_sexes--irnt
Fracture tibia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,468,394315,0.732721254255775,0.0729016239148517,,,categorical-20002-both_sexes-1652-
Volume of grey matter in Precuneous Cortex (left),25842,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.732996730126229,0.0107685769199223,,,continuous-25842-both_sexes--irnt
Bladder surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2528,392255,0.733918611129134,-0.0311589882968197,,,categorical-20004-both_sexes-1427-
B08.4 Lobectomy of thyroid gland NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,770,394071,0.734331238024679,-0.0586549719794433,,,categorical-41200-both_sexes-B084-
Volume of grey matter in Insular Cortex (right),25785,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.734475269776208,0.0105245118817734,,,continuous-25785-both_sexes--irnt
Mean OD in superior cerebellar peduncle on FA skeleton (left),25405,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.734646467594595,-0.0117612873447892,,,continuous-25405-both_sexes--irnt
"C85 Other and unspecified types of non-Hodgkin's lymphoma",C85,icd10,,"Chapter II Neoplasms | C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue | C85 Other and unspecified types of non-Hodgkin's lymphoma",,1146,393695,0.734670093007291,0.0472848797422002,,,icd10-C85-both_sexes--
T87.7 Excision or biopsy of inguinal lymph node,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,192,394649,0.734808656877966,-0.114504268486208,,,categorical-41210-both_sexes-T877-
Q03.4 Punch biopsy of cervix uteri,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,382,213231,0.735031611570291,0.0825837345446408,,,categorical-41200-both_sexes-Q034-
Fluid intelligence score custom,Fluid_intelligence_score_custom,continuous,,,,100900,,0.735577994967558,-0.0103597780579314,,,continuous-Fluid_intelligence_score_custom-both_sexes--custom
C43.4 Subconjunctival injection,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,573,394268,0.73558970901227,-0.0667085269915616,,,categorical-41210-both_sexes-C434-
Macular degeneration,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,234,394549,0.735608346076639,0.102927607194584,,,categorical-20002-both_sexes-1528-
Priadel 200mg m/r tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,254,394529,0.735732290861555,0.102224614533631,,,categorical-20003-both_sexes-1140867504-
P27.3 Colposcopy of vagina,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1178,212435,0.735803189864348,0.047042707338738,,,categorical-41200-both_sexes-P273-
Z07.3 Spinal nerve root of lumbar spine,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1827,393014,0.735867412159608,0.037589890071649,,,categorical-41210-both_sexes-Z073-
Wisdom teeth surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,15530,379253,0.735879634833353,-0.0128316512191623,,,categorical-20004-both_sexes-1480-
M65.1 Endoscopic resection of prostate using electrotome,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1198,180030,0.735936565635831,0.0462654479366034,,,categorical-41200-both_sexes-M651-
Eye trauma,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,550,394233,0.736121699597958,-0.0690963973183088,,,categorical-20002-both_sexes-1279-
M27.4 Ureteroscopic insertion of ureteric stent,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,273,394568,0.736238755070388,0.0972088400139414,,,categorical-41210-both_sexes-M274-
Weighted-mean FA in tract acoustic radiation (right),25489,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.736355865567306,0.0119799051901137,,,continuous-25489-both_sexes--irnt
G46 Vascular syndromes of brain in cerebrovascular diseases,131058,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,165,394676,0.736481414189746,0.120863123823746,,,icd_first_occurrence-131058-both_sexes--
I45 Other conduction disorders,131344,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,3310,391531,0.736512295768024,-0.0277870430105661,,,icd_first_occurrence-131344-both_sexes--
J91 Pleural effusion in conditions classified elsewhere,131536,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,271,394570,0.736640408598354,-0.103141395437814,,,icd_first_occurrence-131536-both_sexes--
W89.1 Endoscopic chondroplasty NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,814,394027,0.736761686180463,-0.0556556525181716,,,categorical-41210-both_sexes-W891-
Z83.9 Joint of finger NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,189,394652,0.737054995398874,-0.113555782964591,,,categorical-41210-both_sexes-Z839-
Standing height,50,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393982,,0.73734904077052,-0.00167130566097941,,,continuous-50-both_sexes--irnt
Volume of grey matter in Occipital Pole (left),25876,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.737992254762362,0.0106337736754542,,,continuous-25876-both_sexes--irnt
S47.2 Drainage of lesion of skin NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,502,394339,0.738111420790227,0.071622813056782,,,categorical-41210-both_sexes-S472-
Senokot 7.5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,163,394620,0.738177312923925,-0.126742627151497,,,categorical-20003-both_sexes-1140851088-
D75 Other diseases of blood and blood-forming organs,130670,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,1589,393252,0.738300743514754,-0.0400707889498073,,,icd_first_occurrence-130670-both_sexes--
C55.3 Drainage of subretinal fluid through sclera,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,183,394658,0.738649726805859,-0.119003463429599,,,categorical-41210-both_sexes-C553-
Q07.5 Subtotal abdominal hysterectomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,819,212794,0.738718929126966,-0.0563300115997204,,,categorical-41200-both_sexes-Q075-
"Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (right)",25871,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.738759814303102,0.0103763309139052,,,continuous-25871-both_sexes--irnt
W84.4 Endoscopic decompression of joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,543,394298,0.739101461374892,0.0677004487883592,,,categorical-41200-both_sexes-W844-
HCadjBMI male custom,HCadjBMI_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180560,,0.73918244009199,-0.0040912206773082,,,continuous-HCadjBMI_male_custom-males--custom
S05.1 Microscopically controlled excision of lesion of skin of head or neck using fresh tissue technique,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,190,394651,0.740152043283458,0.126600501171401,,,categorical-41200-both_sexes-S051-
Flax oil tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,642,394141,0.740179277664389,0.0623830779795092,,,categorical-20003-both_sexes-1140911730-
Volume of grey matter in IX Cerebellum (vermis),25916,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.740363946327014,-0.0111463275214594,,,continuous-25916-both_sexes--irnt
Mean OD in superior corona radiata on FA skeleton (right),25416,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.740521756715089,0.0119399045809116,,,continuous-25416-both_sexes--irnt
G60.1 Creation of jejunostomy,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,246,394595,0.740576466120971,0.101077765739081,,,categorical-41210-both_sexes-G601-
Celecoxib,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,409,394374,0.741575443787437,-0.0773284120505763,,,categorical-20003-both_sexes-1141176662-
Normacol granules,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,166,394617,0.7416676217836,0.119022827879855,,,categorical-20003-both_sexes-1140881474-
Q08.9 Unspecified vaginal excision of uterus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2855,210758,0.741748763242221,0.0296143631678837,,,categorical-41210-both_sexes-Q089-
W79.1 Soft tissue correction of hallux valgus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1566,212047,0.742038744168421,-0.0399895540094693,,,categorical-41200-both_sexes-W791-
Y73.1 Cardiopulmonary bypass,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2512,392329,0.742136928423642,0.0310587040887067,,,categorical-41210-both_sexes-Y731-
Z38.5 Superficial femoral artery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,373,394468,0.742170657697574,-0.0810018984409527,,,categorical-41210-both_sexes-Z385-
S06.4 Shave excision of lesion of skin NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,225,394616,0.742323685104002,0.105513567672614,,,categorical-41210-both_sexes-S064-
Mean carotid IMT (intima-medial thickness) at 120 degrees ,22671,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,21819,,0.742419962879641,0.00947300868164763,,,continuous-22671-both_sexes--irnt
Parkinsons custom,Parkinsons_custom,categorical,,,,1724,393079,0.742554910186366,-0.0376964508875383,,,categorical-Parkinsons_custom-both_sexes--custom
Mean L1 in anterior corona radiata on FA skeleton (right),25222,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.743062937831229,0.011567849553764,,,continuous-25222-both_sexes--irnt
T43.9 Unspecified diagnostic endoscopic examination of peritoneum,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2701,210912,0.743187669199358,0.0313806713744563,,,categorical-41200-both_sexes-T439-
K85 Acute pancreatitis,131682,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2847,391994,0.743239074388678,-0.0295069608177922,,,icd_first_occurrence-131682-both_sexes--
Mean MO in uncinate fasciculus on FA skeleton (right),25196,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.743251047152311,-0.0117006024479063,,,continuous-25196-both_sexes--irnt
M09.3 Endoscopic laser fragmentation of calculus of kidney,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,210,394631,0.743770902237806,0.111306243490249,,,categorical-41200-both_sexes-M093-
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,13617,380672,0.743891145090289,-0.0135220998930709,,,categorical-20117-both_sexes-1-
C80 Malignant neoplasm without specification of site,C80,icd10,,"Chapter II Neoplasms | C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites | C80 Malignant neoplasm without specification of site",,1308,393533,0.744016676088254,0.0428066644438273,,,icd10-C80-both_sexes--
Airomir 100micrograms cfc-free inhaler,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,174,394609,0.744027350608859,-0.123666021090682,,,categorical-20003-both_sexes-1140917034-
Q41.3 Dye test of fallopian tube,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,415,213198,0.744235588683508,0.079911811512855,,,categorical-41210-both_sexes-Q413-
Mean OD in external capsule on FA skeleton (right),25424,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.744905327960574,-0.0118127533154065,,,continuous-25424-both_sexes--irnt
Adalate 10mg capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,292,394491,0.745022208892766,0.0949368901113772,,,categorical-20003-both_sexes-1140881702-
O04 Medical abortion,132170,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,3068,210545,0.745321900123962,0.0304093618277667,,,icd_first_occurrence-132170-both_sexes--
Pancreatitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,849,393934,0.745504214666044,-0.0533791652578309,,,categorical-20002-both_sexes-1165-
C79.4 Injection into vitreous body NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,349,394492,0.74559540409033,-0.0828708098685487,,,categorical-41210-both_sexes-C794-
Mean ICVF in sagittal stratum on FA skeleton (right),25374,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.745884502010029,-0.0117005245958643,,,continuous-25374-both_sexes--irnt
G19.9 Unspecified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,347,394494,0.745928409763525,0.0870536197627485,,,categorical-41200-both_sexes-G199-
Mean FA in medial lemniscus on FA skeleton (right),25064,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.746153038027032,-0.0112737301695502,,,continuous-25064-both_sexes--irnt
Betahistine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1196,393587,0.746846510322845,0.045431975908365,,,categorical-20003-both_sexes-1140888688-
Ginkgo forte tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2240,392543,0.747224004066932,0.0336202199774248,,,categorical-20003-both_sexes-1140911734-
Mean MD in anterior limb of internal capsule on FA skeleton (right),25120,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.747299008053447,0.0107117403559637,,,continuous-25120-both_sexes--irnt
H92 Otalgia and effusion of ear,131262,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,12871,381970,0.747530054931359,-0.0135887271553524,,,icd_first_occurrence-131262-both_sexes--
Multivitamin+mineral preparations,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,5338,389445,0.747700749607457,0.0234935623269526,,,categorical-20003-both_sexes-1140876592-
X59.9 Unspecified anaesthetic without surgery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,183,394658,0.747842187814254,-0.110482201044526,,,categorical-41200-both_sexes-X599-
O14 Gestational [pregnancy-induced] hypertension with significant proteinuria,132188,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,410,213203,0.747926496077222,0.0784889040573315,,,icd_first_occurrence-132188-both_sexes--
Z84.3 Hip joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3663,391178,0.748466913717355,-0.0248935188433594,,,categorical-41210-both_sexes-Z843-
Q03.9 Unspecified biopsy of cervix uteri,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,294,213319,0.749161377601845,-0.0901182654776941,,,categorical-41210-both_sexes-Q039-
easy wakeup 1170 quant,easy_wakeup_1170_quant,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,,391222,,0.749210753307509,-0.00235431125870055,,,continuous-easy_wakeup_1170_quant-both_sexes--custom
Q02.1 Avulsion of lesion of cervix uteri,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,395,213218,0.74956285636955,0.077907210330459,,,categorical-41200-both_sexes-Q021-
"Dupuytren's contracture",20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,275,394508,0.749731976499216,-0.0901583931377746,,,categorical-20002-both_sexes-1544-
Co-amilofruse,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,379,394404,0.749797394324389,-0.0766009889537201,,,categorical-20003-both_sexes-1140923402-
Mean L3 in medial lemniscus on FA skeleton (right),25304,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.749854819826332,0.011033988739418,,,continuous-25304-both_sexes--irnt
M19 Other arthrosis,131876,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,59705,335136,0.750166564457628,0.00664412274975606,,,icd_first_occurrence-131876-both_sexes--
Q09.2 Open myomectomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,163,213450,0.75040957272489,-0.120577936669311,,,categorical-41200-both_sexes-Q092-
G51 Facial nerve disorders,131064,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,2486,392355,0.751054752258432,-0.0301247395376493,,,icd_first_occurrence-131064-both_sexes--
Mean ISOVF in anterior limb of internal capsule on FA skeleton (left),25457,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.751135692800588,0.0110560658368069,,,continuous-25457-both_sexes--irnt
Z98.5 Long saphenous vein,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,533,394308,0.75113778051806,-0.0648254643155816,,,categorical-41210-both_sexes-Z985-
hepatitis custom,hepatitis_custom,categorical,,Health-related outcomes > Hepatobiliary,,2583,392258,0.751231194792689,0.0305134277666446,,,categorical-hepatitis_custom-both_sexes--custom
Other thoracic surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1220,393563,0.751859670661921,-0.0428160094520959,,,categorical-20004-both_sexes-1447-
Q63 Other congenital malformations of kidney,132536,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,452,394389,0.752352585296325,-0.0719280978638396,,,icd_first_occurrence-132536-both_sexes--
H61 Other disorders of external ear,131224,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,24631,370210,0.753019094252163,-0.00294884889618149,,,icd_first_occurrence-131224-both_sexes--
Y22.1 Aspiration of haematoma of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,564,394277,0.753333119987058,0.0633704766298369,,,categorical-41210-both_sexes-Y221-
W15.8 Other specified division of bone of foot,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,262,394579,0.753477911445932,0.0917306372032766,,,categorical-41200-both_sexes-W158-
Q53 Undescended testicle,132522,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,456,180772,0.753481033329835,0.0692813706125324,,,icd_first_occurrence-132522-both_sexes--
Anorexia/bulimia/other eating disorder,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,285,213303,0.754661676197103,0.0874919412863373,,,categorical-20002-both_sexes-1470-
M79.2 Dilation of urethra NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,439,394402,0.75489383687026,0.0737561160281997,,,categorical-41210-both_sexes-M792-
WBFFMadjBMI female custom,WBFFMadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210118,,0.755411056208226,0.00351075525937824,,,continuous-WBFFMadjBMI_female_custom-females--custom
"Volume of grey matter in Parahippocampal Gyrus, anterior division (right)",25849,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.755501391814553,-0.00961570624441744,,,continuous-25849-both_sexes--irnt
Hydrocortisone product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,269,394514,0.755821890308743,-0.091186415846232,,,categorical-20003-both_sexes-1141157294-
R27.1 Episiotomy to facilitate delivery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2160,211453,0.75583244758994,-0.0316859704033437,,,categorical-41210-both_sexes-R271-
Fracture foot,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,243,394540,0.756153299637826,-0.0910572856502465,,,categorical-20002-both_sexes-1654-
Ectopic pregnancy surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2269,211319,0.756257487081851,-0.0300721311006228,,,categorical-20004-both_sexes-1507-
"J38 Diseases of vocal cords and larynx, not elsewhere classified",131480,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,2409,392432,0.756295592954531,-0.0306259260311944,,,icd_first_occurrence-131480-both_sexes--
M53.3 Introduction of tension-free vaginal tape,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,291,213322,0.756766952216895,-0.0871605815376511,,,categorical-41210-both_sexes-M533-
Alzheimers custom2,Alzheimers_custom2,categorical,,,,856,393985,0.75713805640146,0.0508262338581248,,,categorical-Alzheimers_custom2-both_sexes--custom
C18.1 Correction of ptosis of eyelid using levator muscle technique,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,366,394475,0.757286184016332,0.0780118474942357,,,categorical-41200-both_sexes-C181-
Z90.3 Upper leg NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,483,394358,0.757338727136104,0.065970783069298,,,categorical-41210-both_sexes-Z903-
X71.3 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 8,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1360,393481,0.757347434736838,-0.0392613306091062,,,categorical-41200-both_sexes-X713-
K02 Dental caries,131556,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,3549,391292,0.757629914100201,-0.0228363435155704,,,icd_first_occurrence-131556-both_sexes--
B34.1 Subareolar excision of mammary duct,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,270,213343,0.757818617423309,0.0898885570883079,,,categorical-41200-both_sexes-B341-
Longest period of unenthusiasm / disinterest,5375,continuous,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,35380,,0.758013960089431,-0.0073801827421613,,,continuous-5375-both_sexes--irnt
H46 Optic neuritis,131196,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,374,394467,0.75846932069575,0.0775482512906873,,,icd_first_occurrence-131196-both_sexes--
M79.2 Dilation of urethra NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,711,394130,0.759575147266617,0.0556345445624632,,,categorical-41200-both_sexes-M792-
"O75 Other complications of labour and delivery, not elsewhere classified",132274,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,756,212857,0.759719784852771,-0.0532289493474215,,,icd_first_occurrence-132274-both_sexes--
Oesophageal surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,452,394331,0.759765386027798,0.0687780017609241,,,categorical-20004-both_sexes-1449-
L84 Corns and callosities,131810,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,2851,391990,0.759993372535537,-0.0270443423697466,,,icd_first_occurrence-131810-both_sexes--
Thyroiditis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,191,394592,0.759994602198437,0.104000312835766,,,categorical-20002-both_sexes-1428-
E05 Thyrotoxicosis [hyperthyroidism],130700,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,5533,389308,0.760149802679283,0.0192201517419134,,,icd_first_occurrence-130700-both_sexes--
Platelet distribution width,30110,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383461,,0.760246975931171,-0.0021896683913538,,,continuous-30110-both_sexes--irnt
D80 Immunodeficiency with predominantly antibody defects,130676,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,239,394602,0.760420187530399,0.0934225039258318,,,icd_first_occurrence-130676-both_sexes--
